2024 U.S. Masters Swimming 3000 Virtual Championship Final Results Men,,,,,,,,,,
,,,,,,,,,,
Age Group,Place,Last Name,First Name,MI,Club Abbr,Age,USMS Number,DOB,Time,New Record
M5054,5,Bell,Erik,,WSC,50,504N-03641,,40:56.28,
M5054,6,Shimada,Toshio,,TFAM,52,264Y-ZU7JX,,42:47.16,
M5054,7,Mello,James,,SDS,53,104P-XTTSS,,43:04.63,
M5054,8,Stowell,Carter,,NEM,52,0247-J21A1,,43:15.09,
M5054,9,Walkawicz,Tim,,UC12,51,125S-AFM93,,46:36.00,
M5054,10,Barrera,Jose,,MOST,53,434J-04ZEN,,53:28.47,
M5054,11,James,Jason,,AWYY,51,4547-0A35F,,59:11.00,
M5559,1,Dickson,Kurt,,GRA,57,3349-02EM5,,34:07.68,
M5559,2,Rubacky,Mark,,NCMS,55,1343-070MN,,35:42.24,
M5559,3,Byrne,Jim,,SAWS,55,5947-09RVC,,38:40.00,
M5559,4,Thomas,John,,IM,59,214H-436U5,,40:44.99,
M5559,5,Page,Chris,,OREG,58,3745-2KKBK,,41:17.59,
M5559,6,Kurtz,Jerry,,NCMS,58,1343-023KY,,42:42.20,
M5559,7,Muraskin,Ted,,WSC,56,504J-0B1ZW,,42:46.17,
M5559,8,Mitchell,Russ,,CM-Y,58,1243-H01A6,,43:08.67,
M5559,9,Rogers,Mark,,GAJA,59,454R-06PZC,,45:05.10,
M5559,10,Marucci,Peter,,BTA,58,254Y-01ZU7,,45:20.29,
M5559,11,Heun,Joe,,BTA,55,254C-07PT6,,45:22.00,
M5559,12,Halter,Brian,,OREG,58,3742-2YTRE,,45:58.40,
M5559,13,Luebbe,James,,SKY,57,4155-01WDP,,46:27.52,
M5559,14,Baumgartner,Edmund,,IM,58,214J-092VJ,,47:23.00,
M5559,15,Bronson,Matthew,,KM,59,3540-01ZZG,,51:24.99,
M6064,1,Erwin,Jeff,,SAWS,60,5957-01J0A,,34:24.57,
M6064,2,Sullivan,James,,IM,63,215T-04U13,,40:49.15,
M6064,3,Baron,Kurt,,SAWS,60,594P-03BBC,,40:52.76,
M6064,4,Kough,David,,MOVY,61,284W-08229,,41:14.35,
M6064,5,Gould,Jeffrey,,SPM,61,144W-01YC1,,43:16.00,
M6064,6,Marshall,Mike,,OREG,63,375W-0268F,,43:20.00,
M6064,7,Chatinover,Jonathan,,NEM,63,025N-07MX0,,43:37.00,
M6064,8,Heath,Brice,,IM,62,215R-4P393,,45:19.23,
M6064,9,Kammermann,Chris,,CGMS,62,1244-0ACXP,,45:32.49,
M6064,10,Oliveira,Braulio,,ALEX,63,1048-HXVM8,,46:24.08,
M6064,11,Kraus,Bob,,OREG,60,374J-026EH,,48:21.00,
M6064,12,Flick,Walter,,SLAM,63,2257-R2V8J,,51:52.23,
M6064,13,McNamara,Paul (Tank),,OREG,61,374Z-0601J,,52:58.90,
M6064,14,Wheatley,Michael,,OREG,63,3744-P4Z1S,,1:09:06.08,
M6064,15,Jansen van Beek,Dale,,SAWS,63,5944-H985J,,1:17:47.71,
M6064,16,Jackson,Brett-Alexander,,AWYY,64,454Y-GGJE3,,1:32:20.56,
M6569,1,Archer,Branch,,TXLA,65,4343-08689,,35:32.44,
M6569,2,Kajiwara,Doug,,CCAM,67,334A-03BT0,,35:36.78,
M6569,3,MacDonald,Sandy,,SMAC,69,3840-03H4C,,37:32.18,
M6569,4,Chambers,John,,AGUA,69,064P-02YB5,,37:39.72,
M6569,5,Layton,Chris,,IM,65,2143-02VAE,,42:18.38,
M6569,6,Freeman,Stephan,,SPM,68,145E-02REX,,43:48.00,
M6569,7,Thibodeau,Jeff,,NEM,68,024B-6C32H,,45:08.00,
M6569,8,Main,Robert,,OREG,66,3747-03MF9,,45:35.30,
M6569,9,Blake,Anthony,,PVMA,66,384G-03KV8,,46:25.08,
M6569,10,Roach,David,,OREG,69,374M-0UA7D,,46:59.00,
M6569,11,Ohnstad,Bradley,,BTA,67,254T-0AEU5,,50:32.00,
M6569,12,Nishimura,Koji,,AAMAH,66,434Z-0B7YR,,53:00.09,
M6569,13,Pratt,Bob,,UC19,66,195W-065TF,,54:14.00,
M6569,14,Shaw,William,,ARIZ,68,4844-02FZ7,,55:02.84,
M6569,15,Carnes,Lane,,MOST,66,434K-E0R85,,56:49.13,
M6569,16,Grassell,Duane,,O*H*,67,184B-01PH5,,59:59.85,
M6569,17,Thandiwe,Iilonga,,AWYY,69,4540-07ZC0,,1:31:07.00,
M7074,1,Wood,Larry,,TXLA,70,434K-02NJF,,39:26.87,
M7074,2,Dobra,Jeffrey,,LBG,70,334G-40KUG,,41:24.00,
M7074,3,Clemmons,Jim,,SAWS,74,594S-03F93,,41:28.42,
M7074,4,Dodson,Phil,,IM,71,214N-02UY2,,41:55.76,
M7074,5,Unger,Jimmy,,OREG,71,374Z-026HR,,45:40.36,
M7074,6,Small,Stephen,,MEMO,72,384F-03GV2,,48:12.14,
M7074,7,Lantz,Robert,,DAM,73,384F-03U42,,50:33.99,
M7074,8,Brice,Joseph,,BTA,70,254Z-07PW5,,51:25.00,
M7074,9,Purdy,James,,PBM,72,5040-027Y5,,53:08.39,
M7579,1,Kirkland,Dan,,OREG,76,3748-069B3,,38:45.71,
M7579,2,Bruce,Bob,,OREG,76,3741-025YX,,43:04.81,
M7579,3,Henderson,Matt,,OREG,75,374A-07UME,,49:20.00,
M7579,4,Cothren,Jack,,BUMS,75,044C-02ZMJ,,54:41.99,
M7579,5,Leslie,Roy,,AAMAH,75,4355-297GF,,1:01:29.67,
M7579,6,Betz,Fred,,OREG,75,374V-AJV52,,1:06:37.99,
M7579,7,Carew,Michael,,OREG,75,374S-025XU,,1:08:10.60,
M7579,8,Broderick,Rob,,LPM,78,1540-03F10,,1:09:33.00,
M8084,1,Leonard,Ralph,,CONN,81,0541-09SCM,,57:31.00,
M8084,2,Raffaelli,Larry,,VCM,81,334N-03B35,,1:01:35.00,
M8084,3,Foges,John,,OREG,80,3752-026R3,,1:11:32.23,
M8589,1,Holmes,Douglas,,SMS,88,244K-01T5M,,1:07:06.14,
